Date/Time,BLOCK BALCONY_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_3_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_1_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK ROOM_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK STORAGE_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK LIVING_2_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK BATHROOM_F1 STOREY 0:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,5.419054187855412,8.404472537962313,6.920961334058456,7.144529159606266,5.676191137051949,4.564694274318188,4.167495534448955,3.774996221692934 
 01/01  02:00:00,4.559781006842661,8.051943044638069,6.771887347456924,6.74657293809115,5.591754802582257,4.505669008636756,4.142453333483386,3.7666708612825765 
 01/01  03:00:00,3.7716392060305194,7.640388227817669,6.610409268881708,6.362794899655469,5.484542198947137,4.42392560002376,4.104869020868066,3.7493996378881935 
 01/01  04:00:00,3.055935179666382,7.2777566675253999,6.435357407802795,5.997569857863101,5.377053521714987,4.337374685448082,4.062210256166869,3.7239076401458 
 01/01  05:00:00,2.40150194242704,6.920762059762032,6.248814126955596,5.643273173638379,5.257680594114907,4.2359438866370999,4.005831026412739,3.6843886817791788 
 01/01  06:00:00,1.8027228495727992,6.570222278172286,6.051992825753073,5.3041160429466249,5.128764371144252,4.121998651667464,3.937767735634078,3.6311273748547676 
 01/01  07:00:00,1.3011817163215312,6.285160748148543,5.847857160465398,5.000793164174312,5.016352185190012,4.019544007191898,3.8781845184094467,3.5850121307339957 
 01/01  08:00:00,0.8072795747252317,5.902111746315082,5.638010565637165,4.70000982891968,4.859325093942314,3.8707430911490645,3.784798150200827,3.4951322328941609 
 01/01  09:00:00,0.7911401977068859,5.719839935993097,5.433617285057716,4.646339138663839,4.868209589461237,3.762082040049106,3.732298516659426,3.4187072444380157 
 01/01  10:00:00,4.130748749412611,6.713126117942226,5.339667476335186,6.070272198321225,5.715353427896581,3.748221242421699,3.7896261350186197,3.3969420324582408 
 01/01  11:00:00,8.414825458144998,8.25550347505346,5.398437506650813,8.01967573806281,6.1998067615021859,3.7690229827308907,3.878535589456958,3.38964638009599 
 01/01  12:00:00,13.633860526274344,10.3588221747216,5.582319362300974,10.394929620882668,6.063149384160894,3.7910918249839309,3.9421148910507739,3.3873146793677968 
 01/01  13:00:00,18.15020566069829,12.289849437054946,5.907556474952798,12.506463400603005,6.045990519043186,3.8477782180310498,4.005176979748245,3.4015461372002604 
 01/01  14:00:00,21.34645487829385,13.761513768329934,6.323349471467262,14.190191979395193,5.973577061492852,3.9400647122728564,4.063160815625078,3.430262673115386 
 01/01  15:00:00,23.67511393067688,14.67454667154249,6.779046685447952,15.51876381862083,6.015788067754821,4.083267244292799,4.137248013050642,3.4769855812449435 
 01/01  16:00:00,22.495907219327667,14.147862389813703,7.135677319145389,14.931018290463609,6.062487004386686,4.24126554537416,4.191517350098369,3.5271328833958206 
 01/01  17:00:00,18.702255051705249,12.966964190724145,7.330658685099895,12.892639943635768,6.0459177514006658,4.364969311921178,4.180535255379731,3.5652047797428625 
 01/01  18:00:00,15.388654952522803,12.004321805519578,7.416795713820938,11.412393605492368,5.997810099232612,4.459381879445892,4.147780342697037,3.5938581608330799 
 01/01  19:00:00,13.013725138633753,11.292251621710556,7.451276260446854,10.414898494952447,5.973813564198813,4.546628598560522,4.145406605575955,3.6288350618703908 
 01/01  20:00:00,11.168334934937706,10.699251294881583,7.433600432470417,9.659227297980563,5.9493261401307679,4.608995179144715,4.15474426966366,3.664902300003181 
 01/01  21:00:00,9.662371198500822,10.175780756921182,7.376909179251753,9.037604048217715,5.913899083386015,4.642858793415165,4.165014631173029,3.6968131664570329 
 01/01  22:00:00,8.422646258364992,9.70417428136152,7.289278625229214,8.516200321398161,5.875470267413814,4.654909945555407,4.17767979161584,3.7233300365770169 
 01/01  23:00:00,7.385870490403003,9.27494755483847,7.171600629337361,8.061195858505826,5.828847922258621,4.646301606560059,4.186361425456461,3.7420683838287815 
 01/01  24:00:00,6.480219374192359,8.832575336080894,7.039704797524532,7.652769434191195,5.771048997532587,4.621404698170583,4.191977971546596,3.7619638409132918 
 01/02  01:00:00,5.7261139615549949,8.502618443890093,6.903688312874624,7.298854943941819,5.722328502018673,4.593102058332692,4.198948161982759,3.7683162160007086 
 01/02  02:00:00,5.062273002475389,8.128407615055164,6.76821988473297,6.981986841780612,5.66753627082276,4.558350345629615,4.21095395797683,3.7825005949587457 
 01/02  03:00:00,4.484664741503446,7.8648716348585598,6.637801053759962,6.698630047607251,5.626609826593544,4.533737606128408,4.225850235234715,3.7939226090633539 
 01/02  04:00:00,3.979884294588831,7.533140169795388,6.513677808447712,6.4578307432440849,5.579495268844723,4.504163335010143,4.251474577365834,3.81786340247222 
 01/02  05:00:00,3.548543282576992,7.296105017309708,6.395429116782011,6.243287961943151,5.547529509114705,4.486976862972505,4.279696370831713,3.842996211288622 
 01/02  06:00:00,3.200484067182196,7.072365446731689,6.286912508061327,6.070359025682613,5.520805913585619,4.475022751061232,4.314569708853879,3.872787080556147 
 01/02  07:00:00,2.908335856136716,6.8696386205498449,6.1857376570374928,5.911961543226091,5.497004836534034,4.467064198004765,4.351904014911546,3.906162412337269 
