Date/Time,BLOCK TESTBLOCK STOREY 0:Zone Mean Air Temperature [C](Hourly),BLOCK TESTBLOCK STOREY 1:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,13.005203384673323,10.254167213063518 
 01/01  02:00:00,12.809038080332599,9.992990946715413 
 01/01  03:00:00,12.420569897260233,9.52908454890374 
 01/01  04:00:00,12.291335368894229,9.323504643041403 
 01/01  05:00:00,12.201768646619876,9.15278989664994 
 01/01  06:00:00,11.99832977909552,8.855206192215779 
 01/01  07:00:00,12.083869217040278,8.818884832224934 
 01/01  08:00:00,12.270572803477205,8.868294409411389 
 01/01  09:00:00,12.141541384830074,8.642272704389957 
 01/01  10:00:00,13.439921789729276,9.84884804954467 
 01/01  11:00:00,14.5962258373262,10.99705463686647 
 01/01  12:00:00,14.811336817923668,11.112296627810962 
 01/01  13:00:00,15.80226626292763,12.20014728674883 
 01/01  14:00:00,16.62767460769107,13.12347078083208 
 01/01  15:00:00,16.452646209070946,12.93265898098393 
 01/01  16:00:00,16.796901290752648,13.464727675277655 
 01/01  17:00:00,16.44140402963057,13.268199639737324 
 01/01  18:00:00,15.35131114197436,12.271431579926702 
 01/01  19:00:00,14.774547067969854,11.838758256219784 
 01/01  20:00:00,14.402504987227804,11.566956390255666 
 01/01  21:00:00,14.003123236877688,11.26097436460432 
 01/01  22:00:00,13.779809618806436,11.06684145012928 
 01/01  23:00:00,13.666622409317597,10.938943215480656 
 01/01  24:00:00,13.628492041393779,10.86335835313697 
 01/02  01:00:00,13.490558489838854,10.68378223353265 
 01/02  02:00:00,13.342386558960003,10.486098125237018 
 01/02  03:00:00,13.271116268595716,10.351007327414238 
 01/02  04:00:00,13.163366311846144,10.174233378469456 
 01/02  05:00:00,13.081945664300284,10.01631014686782 
 01/02  06:00:00,12.634216864504993,9.698018459811685 
 01/02  07:00:00,12.643722455710364,9.54656624275605 
 01/02  08:00:00,12.563149305017749,9.310234579500469 
 01/02  09:00:00,12.84453255806907,9.457834779886987 
 01/02  10:00:00,13.915239063257527,10.465826528072995 
 01/02  11:00:00,15.11094308785549,11.733153042290118 
 01/02  12:00:00,15.519876704890667,12.10432291606427 
 01/02  13:00:00,16.503392461919,13.24043899683496 
 01/02  14:00:00,17.034417532730694,13.896576222518635 
 01/02  15:00:00,16.992476991038158,13.912247711028816 
 01/02  16:00:00,17.372532197779014,14.456541912899903 
 01/02  17:00:00,16.999762807596967,14.242063441464723 
 01/02  18:00:00,15.89276825694282,13.19971516561301 
 01/02  19:00:00,15.271470693250908,12.71104551805588 
 01/02  20:00:00,14.866806301651382,12.398348624497583 
 01/02  21:00:00,14.384247282710785,11.96930412032751 
 01/02  22:00:00,14.12147581043631,11.709528996786446 
 01/02  23:00:00,13.862356222307837,11.432774644551591 
 01/02  24:00:00,13.525422724940757,11.068860202454476 
 01/03  01:00:00,13.303859900057466,10.789231772108952 
 01/03  02:00:00,13.080952755742337,10.49825860785496 
 01/03  03:00:00,12.785373212197044,10.143208690264272 
 01/03  04:00:00,12.617365017158877,9.883696587982046 
 01/03  05:00:00,12.41975040458472,9.591268892687346 
 01/03  06:00:00,12.180353945252654,9.270342280859822 
 01/03  07:00:00,12.266460687726127,9.246295544510538 
 01/03  08:00:00,12.496865009348835,9.324400117455817 
 01/03  09:00:00,12.743182776311233,9.478671872425789 
 01/03  10:00:00,14.459778346811167,11.124124042256055 
 01/03  11:00:00,16.144188491349444,12.75653945006512 
 01/03  12:00:00,16.766186676041096,13.425902835553327 
 01/03  13:00:00,17.59324351307648,14.268249204686328 
 01/03  14:00:00,17.87215245358039,14.657024633957775 
 01/03  15:00:00,18.461385527999338,15.385345962443024 
 01/03  16:00:00,18.66920134673464,15.686736420182325 
 01/03  17:00:00,17.80851157957492,14.97886740068275 
 01/03  18:00:00,16.24116452761685,13.59296364084851 
 01/03  19:00:00,15.517737901200658,12.986080005708008 
 01/03  20:00:00,15.069245529222599,12.615764066912444 
 01/03  21:00:00,14.465894897681139,12.042076842024854 
 01/03  22:00:00,14.236287869599565,11.802700817497133 
 01/03  23:00:00,14.097828314383153,11.645026628702709 
 01/03  24:00:00,14.004703164894324,11.519617521076608 
 01/04  01:00:00,13.846299734182299,11.292899632124949 
 01/04  02:00:00,13.702338582200005,11.061265607563059 
 01/04  03:00:00,13.687944905140201,10.95092810721445 
 01/04  04:00:00,13.559414573631072,10.72712714677368 
 01/04  05:00:00,13.422277498310912,10.497158293036272 
 01/04  06:00:00,13.350690150334828,10.327366561413488 
 01/04  07:00:00,13.17609229127715,10.072313150026407 
 01/04  08:00:00,12.971503121866457,9.798176167654584 
 01/04  09:00:00,13.557135049276022,10.309550210673633 
 01/04  10:00:00,15.023759103113275,11.70610726458969 
 01/04  11:00:00,16.375038021614857,13.072969382230916 
 01/04  12:00:00,17.146359857943535,13.89858958060345 
 01/04  13:00:00,17.957885384962709,14.72117518491643 
 01/04  14:00:00,18.49395703310096,15.376979951524304 
 01/04  15:00:00,19.13086807312896,16.16841957378174 
 01/04  16:00:00,19.28795765816608,16.438964768237669 
 01/04  17:00:00,18.49438600887742,15.798432053825888 
 01/04  18:00:00,16.925952747443878,14.426652407476994 
 01/04  19:00:00,16.103346044899419,13.744050162561078 
 01/04  20:00:00,15.639140943442535,13.36915284975653 
 01/04  21:00:00,15.043568875658654,12.817189779997915 
 01/04  22:00:00,14.774182086418186,12.547035686317085 
 01/04  23:00:00,14.513579146743409,12.273679026699832 
 01/04  24:00:00,14.267202066899085,12.002509994162257 
 01/05  01:00:00,13.966220493419107,11.633837322789054 
 01/05  02:00:00,13.749885434682258,11.338414248876786 
 01/05  03:00:00,13.607936789300683,11.101387439060075 
 01/05  04:00:00,13.420614478177138,10.827033173133146 
 01/05  05:00:00,13.24701324774479,10.543582848935112 
 01/05  06:00:00,13.169224463654315,10.336058021868079 
 01/05  07:00:00,12.828942984159804,9.907578985057029 
 01/05  08:00:00,12.424489174138568,9.383152294234073 
 01/05  09:00:00,13.005300941196959,9.844620457689305 
 01/05  10:00:00,14.670162297316704,11.40454033217199 
 01/05  11:00:00,16.355588397635267,12.982563254894778 
 01/05  12:00:00,16.436600554129858,12.92925682650085 
 01/05  13:00:00,17.175528077675489,13.812187480477486 
 01/05  14:00:00,17.892418548076404,14.611858424936259 
 01/05  15:00:00,17.37272637288173,14.077824283297668 
 01/05  16:00:00,17.853802763616629,14.741894751661269 
 01/05  17:00:00,17.77827391306142,14.820105700141776 
 01/05  18:00:00,16.519061894234313,13.651115656105809 
 01/05  19:00:00,15.630000217804941,12.986331317881213 
 01/05  20:00:00,15.352197221168903,12.775213867167548 
 01/05  21:00:00,15.073580243596784,12.557035264609523 
 01/05  22:00:00,14.749050883325179,12.265841115642964 
 01/05  23:00:00,14.475766718811327,11.99829058996745 
 01/05  24:00:00,14.293361775178888,11.787937829104397 
 01/06  01:00:00,14.094767825950127,11.552537690410672 
 01/06  02:00:00,13.924511183985178,11.331106608694113 
 01/06  03:00:00,13.819838949621408,11.160750281542317 
 01/06  04:00:00,13.653855768275527,10.92818575140319 
 01/06  05:00:00,13.491215628559783,10.694942335185992 
 01/06  06:00:00,13.397678286216996,10.518459845221358 
 01/06  07:00:00,13.260379732876041,10.30480565837295 
 01/06  08:00:00,13.137477032734454,10.104514845359207 
 01/06  09:00:00,13.55847026810648,10.47112799199963 
 01/06  10:00:00,15.166362715322942,12.026424360812829 
 01/06  11:00:00,16.802824679929278,13.602912352784572 
 01/06  12:00:00,17.052313167052846,13.772893920019444 
 01/06  13:00:00,17.94358095289223,14.825944708047193 
 01/06  14:00:00,18.727585307052647,15.746777287614578 
 01/06  15:00:00,19.48380077986358,16.667379794730093 
 01/06  16:00:00,19.61637452252051,16.968288505534287 
 01/06  17:00:00,18.920717302974589,16.402447482479159 
 01/06  18:00:00,17.40774284938145,15.065986307612566 
 01/06  19:00:00,16.588371548554855,14.451476293530803 
 01/06  20:00:00,16.051684468607193,14.025796191397028 
 01/06  21:00:00,15.608045364920987,13.648836957972695 
 01/06  22:00:00,15.205491564386005,13.291065480837358 
 01/06  23:00:00,14.955297581388736,13.046127691912077 
 01/06  24:00:00,14.685282641749886,12.754358800608149 
 01/07  01:00:00,14.50757521366328,12.527928788408847 
 01/07  02:00:00,14.33797725829973,12.302636116234796 
 01/07  03:00:00,14.092275423432753,12.005142048719853 
 01/07  04:00:00,13.93342446628764,11.763452239580513 
 01/07  05:00:00,13.766860223991538,11.484017955025705 
 01/07  06:00:00,13.494677918228409,11.12769315704254 
 01/07  07:00:00,13.386931268615238,10.907976487282899 
 01/07  08:00:00,13.289102325078107,10.684084271549088 
 01/07  09:00:00,13.33395125565624,10.619418808303779 
 01/07  10:00:00,15.106044764407813,12.310481464467753 
 01/07  11:00:00,16.830451535689777,13.981873731103665 
 01/07  12:00:00,17.74466585415598,14.892908965720057 
 01/07  13:00:00,18.731121592086767,15.859338453355936 
 01/07  14:00:00,19.027802750616993,16.288944053240578 
